Term	POS1	POS2	POS3	POS4	Subjectivity1	Subjectivity2	Subjectivity3	Subjectivity4	Polarity1	Polarity2	Polarity3	Polarity4	Anger1	Anger2	Anger3	Anger4	Disgust1	Disgust2	Disgust3	Disgust4	Fear1	Fear2	Fear3	Fear4	Happiness1	Happiness2	Happiness3	Happiness4	Sadness1	Sadness2	Sadness3	Sadness4	Surprise1	Surprise2	Surprise3	Surprise4	Aditional1	Aditional2	Aditional3	Aditional4	Comments1	Comments2	Comments3	Comments4	
ασκέρι	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	OBJ	NEG	NEG	NEG	N/A	3	1	2	N/A	3	2	3	N/A	3	1	3	N/A	1	1	1	N/A	1	1	1	N/A	2	1	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
άσμα	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ+	BOTH	N/A	NEG	POS	1	N/A	2	1	4	N/A	3	1	1	N/A	1	1	3	N/A	1	3	1	N/A	1	1	3	N/A	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Used for songs, positively	
άσος	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ-	POS	BOTH	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	4	3	4	3	1	3	1	1	4	1	4	1	N/A	N/A	N/A	N/A	N/A	used mostly in semi-frozen expressions	N/A	N/A	
ασπίδα 	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	BOTH	N/A	NEG	N/A	1	N/A	1	N/A	2	N/A	1	N/A	2	N/A	2	N/A	2	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
άσπονδος	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	NEG	NEG	4	N/A	3	4	3	N/A	2	4	1	N/A	2	1	1	N/A	1	1	1	N/A	2	2	2	N/A	2	1	N/A	N/A	N/A	N/A	N/A	intensifier for sometihing negative. If used with something positive, it's used ironically	N/A	N/A	
ασπόνδυλος	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	3	N/A	3	N/A	4	N/A	2	N/A	2	N/A	2	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ασπροπρόσωπος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ+	SUBJ-	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	4	3	4	1	1	1	1	3	3	5	3	1	N/A	N/A	N/A	N/A	N/A	relevant sentiments: being proud, admiring	N/A	N/A	
ασπρουλιάρης	NOUN	ADJ	ADJ	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	NEG	N/A	NEG	NEG	2	N/A	3	1	4	N/A	4	3	1	N/A	2	1	1	N/A	1	1	2	N/A	1	1	2	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ασσάκια	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ+	SUBJ-	POS	N/A	POS	NEG	1	N/A	1	1	1	N/A	1	1	1	N/A	1	2	5	N/A	5	1	1	N/A	1	3	5	N/A	5	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
άσσος	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ-	POS	BOTH	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	4	3	4	3	1	3	1	1	4	1	4	1	N/A	N/A	N/A	N/A	N/A	used mostly in semi-frozen expressions	N/A	N/A	
αστάθεια	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	NEG	NEG	2	N/A	1	1	2	N/A	1	1	3	N/A	1	3	1	N/A	1	1	1	N/A	1	2	1	N/A	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
άστατος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	SUBJ-	NEG	N/A	NEG	NEG	2	N/A	2	1	2	N/A	2	1	3	N/A	1	3	1	N/A	1	1	1	N/A	1	1	1	N/A	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αστοιχείωτος	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	2	3	3	2	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
άστοργος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	NEG	NEG	3	N/A	2	2	4	N/A	3	3	1	N/A	2	1	1	N/A	1	1	3	N/A	2	3	1	N/A	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αστράφτω	VERB	VERB	VERB	VERB	SUBJ-	SUBJ-	SUBJ-	OBJ	POS	BOTH	POS	N/A	1	5	1	N/A	1	1	1	N/A	1	1	1	N/A	5	5	5	N/A	1	1	1	N/A	4	4	5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ασυγκράτητος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	SUBJ+	BOTH	N/A	BOTH	BOTH	2	N/A	2	1	2	N/A	2	1	1	N/A	2	1	4	N/A	1	1	1	N/A	1	1	4	N/A	2	1	N/A	N/A	N/A	N/A	N/A	intensifier	N/A	N/A	
ασυναίσθητος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ+	SUBJ-	SUBJ-	NEG	NEG	NEG	BOTH	2	1	2	1	3	1	2	1	1	1	1	1	1	1	1	1	3	1	3	1	1	1	2	2	N/A	N/A	N/A	N/A	N/A	meaning absence of sentiment	N/A	N/A	
ασύνδετος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	2	N/A	2	N/A	2	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ασφάλεια	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ-	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	3	1	3	1	N/A	N/A	N/A	N/A	N/A	exact sentiment: security	N/A	N/A	
ασφαλής -ής -ές	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ-	SUBJ-	SUBJ-	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	3	1	3	1	N/A	N/A	N/A	N/A	N/A	exact sentiment: security	N/A	N/A	
ασφαλίτης	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	3	1	3	5	3	2	2	4	3	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ασφυκτικός -ή -ό	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	2	1	2	2	2	2	2	2	3	2	3	2	1	1	1	1	2	2	2	1	1	1	2	1	N/A	N/A	N/A	N/A	N/A	expressing something unpleasant	N/A	N/A	
ασφυκτιώ	VERB	VERB	VERB	VERB	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	2	1	2	2	2	2	2	2	3	2	3	2	1	1	1	1	2	2	2	1	1	1	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ασφυξία	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	OBJ	NEG	NEG	NEG	N/A	2	1	2	N/A	2	2	2	N/A	3	2	3	N/A	1	1	1	N/A	2	2	2	N/A	1	1	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
άσχημος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	1	1	2	1	4	3	3	5	1	1	1	1	1	1	1	1	1	2	1	2	1	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ατάραχος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ+	SUBJ-	SUBJ-	NEG	BOTH	NEG	POS	2	1	2	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	3	2	N/A	N/A	N/A	N/A	N/A	exact sentiment: sangfroid	N/A	N/A	
άτεγκτος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	BOTH	NEG	NEG	3	1	2	2	3	1	3	2	1	1	1	3	1	1	1	1	2	1	2	1	3	1	3	1	N/A	N/A	N/A	N/A	N/A	meaning not easily touched	N/A	N/A	
ατρόμητος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ+	SUBJ-	SUBJ+	POS	POS	NEG	POS	1	1	2	1	1	1	1	1	1	1	1	1	4	2	1	3	1	1	1	1	4	1	3	1	N/A	N/A	N/A	N/A	N/A	fearless	N/A	N/A	
άτρομος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	NEG	POS	1	N/A	2	1	1	N/A	1	1	1	N/A	1	1	4	N/A	1	3	1	N/A	1	1	4	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αυθαδόμουτρο	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	5	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	N/A	N/A	N/A	αυθάδης	N/A	N/A	N/A	N/A	
αυλή	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ-	SUBJ-	OBJ	NEG	NEG	NEG	N/A	4	1	3	N/A	4	3	2	N/A	1	1	1	N/A	1	1	1	N/A	2	1	1	N/A	2	1	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αυριανισμός	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	3	1	4	2	4	3	3	3	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αυταπάτη	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	NEG	NEG	3	N/A	2	1	1	N/A	1	1	1	N/A	1	2	1	N/A	1	1	2	N/A	1	2	2	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αυτή	PRON	PRON	PRON	PRON	OBJ	SUBJ-	OBJ	OBJ	N/A	NEG	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	should not be used, low frequency	N/A	N/A	
αυτί	NOUN	NOUN	NOUN	NOUN	OBJ	OBJ	OBJ	OBJ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αυτοϊκανοποίηση	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	NEG	N/A	NEG	BOTH	2	N/A	2	1	3	N/A	2	3	1	N/A	1	1	1	N/A	1	3	1	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αυτοϊκανοποιούμαι	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	SUBJ-	NEG	N/A	NEG	NEG	2	N/A	2	1	3	N/A	3	3	1	N/A	1	1	1	N/A	1	2	1	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αυτοκυριαρχία	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ+	POS	N/A	POS	POS	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	4	N/A	3	1	1	N/A	1	1	4	N/A	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αυτοκυριαρχούμαι	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	SUBJ+	POS	N/A	POS	POS	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	4	N/A	3	1	1	N/A	1	1	4	N/A	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αυτός	PRON	PRON	PRON	PRON	OBJ	SUBJ-	OBJ	OBJ	N/A	NEG	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	should not be used, low frequency	N/A	N/A	
αυτός	N/A	PRON	PRON	PRON	N/A	SUBJ-	OBJ	OBJ	N/A	NEG	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	should not be used, low frequency	N/A	N/A	
αυτός	N/A	PRON	PRON	PRON	N/A	SUBJ-	OBJ	OBJ	N/A	NEG	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	should not be used, low frequency	N/A	N/A	
αυτοσεβασμός	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ+	POS	N/A	POS	POS	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	4	N/A	3	1	1	N/A	1	1	4	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αυτοσυγκράτηση	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ+	POS	N/A	POS	POS	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	4	N/A	3	1	1	N/A	1	1	4	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αυτοσυγκρατούμαι	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	SUBJ+	POS	N/A	POS	BOTH	1	N/A	1	3	1	N/A	1	3	1	N/A	1	1	4	N/A	3	3	1	N/A	1	1	4	N/A	3	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αυτοσυναίσθημα	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	OBJ	BOTH	BOTH	BOTH	N/A	2	1	2	N/A	2	1	1	N/A	2	1	1	N/A	2	1	2	N/A	2	1	1	N/A	2	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αυτοτέλεια	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	POS	N/A	POS	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	1	N/A	1	N/A	1	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αφαιρώ	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	SUBJ-	NEG	N/A	NEG	NEG	3	N/A	2	2	2	N/A	1	2	1	N/A	1	2	1	N/A	1	1	2	N/A	1	2	1	N/A	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αφεντιά	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	POS	N/A	NEG	NEG	1	N/A	3	1	1	N/A	3	3	1	N/A	1	1	3	N/A	1	1	1	N/A	1	1	3	N/A	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ironically used	
αφή 	NOUN	NOUN	NOUN	NOUN	OBJ	OBJ	OBJ	OBJ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αφηγούμαι	VERB	VERB	VERB	VERB	OBJ	OBJ	OBJ	OBJ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αφηνιάζω	VERB	VERB	VERB	VERB	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	4	5	4	3	2	3	2	3	1	1	3	1	1	1	1	1	1	1	1	2	3	1	3	3	N/A	N/A	N/A	N/A	N/A	violence in general, not necessarily anger	N/A	N/A	
αφιλανθρωπία	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	NEG	NEG	2	N/A	2	1	3	N/A	2	3	1	N/A	2	1	1	N/A	1	1	3	N/A	3	3	2	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αφιλάνθρωπος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	NEG	NEG	2	N/A	3	1	3	N/A	2	3	1	N/A	2	1	1	N/A	1	1	3	N/A	3	3	2	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αφιονίζω	VERB	VERB	VERB	VERB	SUBJ-	SUBJ-	SUBJ-	OBJ	NEG	NEG	NEG	N/A	4	5	4	N/A	3	3	2	N/A	3	2	3	N/A	1	2	1	N/A	1	2	2	N/A	2	2	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
άφοβος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	SUBJ+	POS	N/A	NEG	POS	2	N/A	2	1	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	2	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αφοσίωση	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	3	1	1	1	1	3	1	4	1	N/A	N/A	N/A	N/A	N/A	sentiment: respect, love and faith	N/A	N/A	
αφυπνίζω	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	SUBJ-	POS	N/A	POS	BOTH	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	2	N/A	2	1	1	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αφύπνιση	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	POS	N/A	POS	BOTH	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	2	N/A	2	1	1	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
άφωνος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ-	SUBJ-	SUBJ+	BOTH	BOTH	BOTH	BOTH	2	1	2	1	1	1	1	3	3	1	2	3	3	1	2	2	1	1	2	3	5	5	5	5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αχ	INTJ	INTJ	INTJ	INTJ	SUBJ+	SUBJ+	SUBJ+	SUBJ+	BOTH	BOTH	BOTH	BOTH	2	5	2	1	2	5	2	1	2	5	3	1	2	5	3	1	4	5	4	1	4	5	5	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αχάριστος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	4	1	3	2	4	2	2	3	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	N/A	N/A	N/A	N/A	N/A	exact sentiment not included in table	N/A	N/A	
αχόρταγος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ-	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	3	1	3	2	4	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αχυράνθρωπος	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ-	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	3	1	5	2	4	2	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	N/A	N/A	N/A	N/A	N/A	implies negative sentiment when used to describe someone	N/A	N/A	
αψιθυμία	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	BOTH	NEG	BOTH	4	3	3	3	2	3	2	1	1	3	1	1	1	3	1	1	1	3	1	1	2	3	2	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
βαθύς -ιά -ύ	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	OBJ	BOTH	N/A	BOTH	N/A	1	N/A	2	N/A	2	N/A	2	N/A	1	N/A	1	N/A	1	N/A	2	N/A	2	N/A	2	N/A	2	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	Intensifier	N/A	N/A	
βαλκάνιος	ADJ	NOUN	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	3	N/A	3	N/A	3	N/A	3	N/A	2	N/A	2	N/A	1	N/A	1	N/A	1	N/A	1	N/A	2	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
βαραίνω	VERB	VERB	VERB	VERB	SUBJ-	SUBJ-	SUBJ-	SUBJ-	NEG	NEG	NEG	NEG	3	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	4	1	3	2	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
βαρέλα	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ+	SUBJ-	NEG	N/A	NEG	NEG	4	N/A	4	2	4	N/A	3	3	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	1	N/A	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
βαρελάκι	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ+	SUBJ-	NEG	N/A	NEG	NEG	4	N/A	4	2	4	N/A	3	3	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	1	N/A	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
βαρέλι	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ+	OBJ	NEG	N/A	NEG	N/A	4	N/A	4	N/A	4	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
βαριέμαι	VERB	VERB	VERB	VERB	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	1	1	1	1	2	2	3	3	1	1	1	1	1	1	1	1	1	1	1	3	2	1	2	1	N/A	N/A	N/A	N/A	N/A	exact sentiment: bore	N/A	N/A	
βαριεστημάρα	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	1	1	1	1	2	2	3	3	1	1	1	1	1	1	1	1	1	1	1	3	2	1	2	1	N/A	N/A	N/A	N/A	N/A	exact sentiment: bore	N/A	N/A	
βαριεστημένος -η -ο	ADJ	PART	PART	PART	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	1	1	1	1	2	2	3	3	1	1	1	1	1	1	1	1	1	1	1	3	2	1	2	1	N/A	N/A	N/A	N/A	N/A	exact sentiment: bore	N/A	N/A	
βαριεστώ	VERB	VERB	VERB	VERB	SUBJ-	SUBJ+	SUBJ-	SUBJ-	NEG	NEG	NEG	NEG	1	1	1	1	2	2	3	3	1	1	1	1	1	1	1	1	1	1	1	3	2	1	2	1	N/A	N/A	N/A	N/A	N/A	exact sentiment: bore	N/A	N/A	
βάρος	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ-	NEG	NEG	NEG	NEG	2	1	2	2	3	2	2	3	1	1	1	1	1	1	1	1	2	4	1	2	1	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
βαρύμαγκας	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ+	SUBJ+	NEG	N/A	NEG	NEG	4	N/A	2	2	4	N/A	3	4	1	N/A	2	1	1	N/A	1	1	1	N/A	1	1	2	N/A	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
βαρυπενθούν	PART	ADJ	ADJ	ADJ	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	2	1	2	1	2	1	2	2	1	1	1	2	1	1	1	1	3	5	5	5	1	1	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
βαρυπενθούσα	PART	ADJ	ADJ	ADJ	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	2	1	2	1	2	1	2	2	1	1	1	2	1	1	1	1	3	5	5	5	1	1	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
βαρυπενθών	PART	ADJ	ADJ	ADJ	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	2	1	2	1	2	1	2	2	1	1	1	2	1	1	1	1	3	5	5	5	1	1	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
βαρύς -ιά -ύ	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ-	SUBJ-	SUBJ-	NEG	NEG	NEG	N/A	1	1	2	1	3	2	2	2	1	1	1	1	1	1	1	1	3	4	3	3	1	1	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
βαρυστομαχιά	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ-	NEG	NEG	NEG	NEG	1	1	1	1	3	3	3	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
βαρυστομαχιάζω	VERB	VERB	VERB	VERB	SUBJ-	SUBJ-	SUBJ-	SUBJ-	NEG	NEG	NEG	NEG	1	1	1	1	3	3	3	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
